service_id,date,exception_type
1001-53153-20230429,20230429,1
1001-53153-20230427,20230427,1
1001-53153-20230430,20230430,1
1001-53153-20230426,20230426,1
1001-53153-20230428,20230428,1
1001-53153-20230502,20230502,1
1001-53153-20230501,20230501,1
1001-53754-20230430,20230430,1
1001-53754-20230502,20230502,1
1001-53754-20230427,20230427,1
1001-53754-20230428,20230428,1
1001-53754-20230501,20230501,1
1001-53754-20230426,20230426,1
1001-53754-20230429,20230429,1
1001-53152-20230428,20230428,1
1001-53152-20230426,20230426,1
1001-53152-20230429,20230429,1
1001-53152-20230424,20230424,1
1001-53152-20230427,20230427,1
1001-53152-20230502,20230502,1
1001-53773-20230429,20230429,1
1001-53773-20230502,20230502,1
1001-53773-20230428,20230428,1
1001-53773-20230426,20230426,1
1001-53773-20230501,20230501,1
1001-53773-20230427,20230427,1
1001-53773-20230430,20230430,1
1001-53773-20221102,20221102,1
1001-53773-20221115,20221115,1
1001-53773-20230421,20230421,1
1001-53759-20230429,20230429,1
1001-53759-20230426,20230426,1
1001-53759-20230428,20230428,1
1001-53759-20230424,20230424,1
1001-53759-20230427,20230427,1
1001-53759-20230502,20230502,1
1001-53763-20230429,20230429,1
1001-53763-20230428,20230428,1
1001-53763-20230424,20230424,1
1001-53763-20230502,20230502,1
1001-53763-20230427,20230427,1
1001-53763-20230426,20230426,1
1001-53757-20230502,20230502,1
1001-53757-20230426,20230426,1
1001-53757-20230424,20230424,1
1001-53757-20230429,20230429,1
1001-53757-20230427,20230427,1
1001-53757-20230428,20230428,1
1001-53771-20230427,20230427,1
1001-53771-20230424,20230424,1
1001-53771-20230502,20230502,1
1001-53771-20230426,20230426,1
1001-53771-20230428,20230428,1
1001-53771-20230430,20230430,1
1001-53771-20230501,20230501,1
1001-53771-20230429,20230429,1
1001-53760-20230429,20230429,1
1001-53760-20230502,20230502,1
1001-53760-20230430,20230430,1
1001-53760-20230427,20230427,1
1001-53760-20230428,20230428,1
1001-53760-20230501,20230501,1
1001-53760-20230426,20230426,1
1001-53145-20230428,20230428,1
1001-53145-20230429,20230429,1
1001-53145-20230502,20230502,1
1001-53145-20230424,20230424,1
1001-53145-20230426,20230426,1
1001-53145-20230427,20230427,1
1001-47840-20230501,20230501,1
1001-47840-20230426,20230426,1
1001-47840-20230502,20230502,1
1001-47840-20230427,20230427,1
1001-47840-20230428,20230428,1
1001-47840-20230429,20230429,1
1001-47840-20230430,20230430,1
1001-53753-20230502,20230502,1
1001-53753-20230429,20230429,1
1001-53753-20230501,20230501,1
1001-53753-20230427,20230427,1
1001-53753-20230428,20230428,1
1001-53753-20230430,20230430,1
1001-53753-20230426,20230426,1
1001-53775-20230501,20230501,1
1001-53775-20230426,20230426,1
1001-53775-20230429,20230429,1
1001-53775-20230427,20230427,1
