route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color
9cf1742a-6bc8-4a32-9856-83b9a77b6554,1049,E130,São Camilo - Terminal Santo Antônio,,3,,
7d9af57b-c92e-4f02-8f66-ce6fa6986219,1049,E120,Paineiras - Terminal Santo Antônio,,3,,
e2a31ffe-1f93-4c87-a1fc-eb26c0838ac3,1049,A130,Estação Itavuvu - São Camilo,,3,,
7b3ccb02-150e-4083-b8cd-be37e5a2252c,1049,E160,São Bento - Terminal Santo Antônio,,3,,
af542db6-a91d-4240-8c89-fa8141272e7a,1049,A110,Terminal Vitória Régia - Vitória Régia Ii E Iii,,3,,
3463ce93-8779-4fce-a5fe-688837e69127,1049,E131,Terminal Santo Antônio - Casa Branca,,3,,
d4cbb5ad-5ec3-47d2-a2c5-1f974a52a064,1049,939,Expresso Parque Tecnologico,,3,,
f95fc324-9895-4a9f-ad80-82bcf9174085,1049,180,Terminal Santo Antônio - Carandá,,3,,
8b592e09-bbc2-463b-a714-9a29b38f938f,1049, 100,Expresso,,3,,
bf3d660b-f9a4-486f-abec-0b7d4c5ad502,1049,170,Nova Sorocaba,,3,,
7e5b2e53-ba91-455e-baa9-0e02d2583769,1049,A120,Estação Itavuvu - Paineiras,,3,,
cdbd9b13-2d71-4425-acb5-2e115129d8b1,1049,A131,Estação Itavuvu - Casa Branca,,3,,
659c7774-8dd9-4651-a12e-914c4e24f3d0,1049,A160,São Bento - Terminal São Bento,,3,,
2105c98a-22e5-402d-bf2a-b263d164cbea,1049,150,Terminal São Bento / Terminal Santo Antônio,,3,,
c9856197-f988-453e-aa41-3f58fcd53664,1049,E110,Vitória Régia Ii E Iii,,3,,
e03d31c7-9e87-4eb4-aa6e-25d261a22d14,1049,181,Terminal Santo Antônio - Altos Do Ipanema,,3,,
0d4c244b-9bab-458e-b3bd-72778984cc56,1049,140,Terminal Vitória Régia / Terminal Santo Antônio,,3,,
5f4df56c-3da7-42a4-898a-e7fea5602893,1049,200,Norte / Sul,,3,,
c02afd0a-72a8-4b47-83f4-ac484774a807,1049,64/1,Paço Municipal / Via Avenida Washington Luiz,,3,,
5feeec90-df85-45fa-a564-7586e066bff9,1049,82,Cond. Ana Maria / Via Gal. Carneiro,,3,,
6aa07b84-5423-4ec3-b001-ca061a18d8e8,1049,22,Magnólia,,3,,
063529d7-a1f2-40d5-a62c-b15b417f4465,1049,37,Gutierres,,3,,
300c4799-9339-4077-b84b-f09ca04ef939,1049,33,Mato Dentro,,3,,
6081b671-5f98-4091-a7b3-38498421b865,1049,80,Ufscar,,3,,
a51d8310-3e08-41e4-9a85-58ccfb5fca78,1049,66,Ipatinga,,3,,
56e3ddfd-a994-4534-ad3b-a538be441ef3,1049,103,Centro Hospitalar,,3,,
cbcb38fa-eeda-44e7-bdc8-9cdbf41d02ee,1049,34,Aparecidinha / Via Terra,,3,,
b730e9ac-5382-4646-95a2-446c9c4e7f9e,1049,41,Gonçalves,,3,,
6fcf77ed-bb93-4720-bc40-08398be6c854,1049,32,Vila Haro,,3,,
abd24f21-24bc-4f1b-95cf-4dbedad48512,1049,47,Hortência,,3,,
6dd5720b-27b3-4cf8-9332-c6283a47a51b,1049,13,Parque Santa Isabel / Via Jardim Europa,,3,,
49ef5111-a6b1-438c-b9fb-c9947f0ecbd2,1049,78,Sabiá,,3,,
02ed0ebf-f121-43db-a4d8-02602f8535da,1049,A67,Ipanema Das Pedras,,3,,
242dbad1-ea05-441b-a0a8-cc7029a46511,1049,04,Colorau,,3,,
